t,daily_cases_obs,ward_obs,icu_obs,daily_deaths_obs,NT,P_0_49,P_50_59,P_60_69,P_70p
235,3270.0,1165.0,200.0,16.0,19345.0,0.6299694189602446,0.1489296636085627,0.08623853211009175,0.13486238532110092
236,2899.0,1220.0,198.0,31.0,19454.0,0.6311787072243347,0.13861043899066713,0.10127894918769444,0.12893190459730383
237,3669.0,1234.0,221.0,21.0,19664.0,0.6445964432284541,0.14008207934336525,0.08864569083447332,0.12667578659370723
238,2577.0,1344.0,230.0,19.0,19892.0,0.6472189809412681,0.15013613380007781,0.09179307662388178,0.1108518086347725
239,2447.0,1432.0,240.0,27.0,20039.0,0.6479967293540474,0.16107931316434995,0.08912510220768602,0.1017988552739166
240,3299.0,1494.0,253.0,28.0,20243.0,0.6317065777508336,0.15095483479842375,0.08699605941194301,0.13034252803879964
241,3960.0,1532.0,262.0,24.0,20492.0,0.6231371558474362,0.14624905279110886,0.09295276584996212,0.1376610255114928
242,4224.0,1565.0,269.0,33.0,20916.0,0.6362346263008515,0.13978240302743614,0.09768211920529801,0.12630085146641437
243,4656.0,1652.0,275.0,40.0,21399.0,0.6472484952708513,0.14638865004299226,0.09006878761822872,0.11629406706792779
244,4007.0,1686.0,286.0,39.0,21958.0,0.6264037933616172,0.13800848515098577,0.0953331669578238,0.14025455452957325
245,3062.0,1838.0,284.0,37.0,22460.0,0.5466321243523315,0.17283493708364175,0.12139156180606958,0.15914137675795706
246,2506.0,1961.0,294.0,46.0,22674.0,0.6475924633635729,0.11723656664340544,0.09106769016050244,0.1441032798325192
247,2596.0,2029.0,320.0,45.0,23192.0,0.6086286594761171,0.14329738058551617,0.09668721109399075,0.15138674884437597
248,7497.0,2012.0,325.0,59.0,23696.0,0.6650213447171824,0.15675026680896476,0.08644610458911418,0.09178228388473852
249,4410.0,2042.0,320.0,46.0,24162.0,0.6319491717721807,0.1547538007714999,0.08668028137054686,0.12661674608577264
250,5550.0,2085.0,340.0,52.0,24543.0,0.6505583012996521,0.15101592531576055,0.09335529928610653,0.10507047409848068
251,6640.0,2054.0,366.0,56.0,24723.0,0.6291460303166742,0.16133873630496773,0.08464655560558307,0.12486867777277502
252,5784.0,2144.0,378.0,48.0,24676.0,0.6396474248185274,0.1614241272035949,0.08797096439681991,0.11095748358105773
253,4096.0,2260.0,391.0,63.0,24958.0,0.6272927366104182,0.14184397163120568,0.09073123012961604,0.1401320616287601
254,3817.0,2360.0,382.0,62.0,24923.0,0.606282722513089,0.14764397905759163,0.10287958115183246,0.14319371727748692
255,4935.0,2394.0,391.0,82.0,25121.0,0.639918946301925,0.14407294832826747,0.09422492401215805,0.12178318135764944
256,5839.0,2411.0,383.0,78.0,25354.0,0.6325342465753425,0.14948630136986302,0.0863013698630137,0.13167808219178082
257,6653.0,2411.0,388.0,69.0,26037.0,0.6537595677622693,0.14873180249137025,0.090049527239982,0.10745910250637851
258,6602.0,2385.0,413.0,55.0,26073.0,0.6466666666666666,0.14469696969696969,0.09106060606060605,0.11757575757575758
259,6035.0,2514.0,415.0,76.0,26169.0,0.5955260977630489,0.15062137531068764,0.09693454846727423,0.15691797845898922
260,8371.0,2614.0,426.0,91.0,26572.0,0.6167222486898524,0.1669842782277275,0.10385898046688899,0.1124344926155312
261,4452.0,2597.0,431.0,81.0,26982.0,0.5963910461397898,0.1477843764275925,0.10895386021014163,0.14687071722247602
262,5891.0,2619.0,432.0,79.0,27479.0,0.6143790849673203,0.15806673546611627,0.09735122119023049,0.13020295837633297
263,6994.0,2559.0,458.0,69.0,27788.0,0.6370188842439095,0.15539858728557013,0.09932247369179761,0.10826005477872279
264,6489.0,2598.0,481.0,61.0,27497.0,0.6365333748249572,0.14330169597012604,0.0995798973082309,0.12058503189668585
265,6472.0,2540.0,485.0,62.0,27596.0,0.6142124086456229,0.15736277406313173,0.09982895350645313,0.12859586378479243
266,4788.0,2660.0,491.0,73.0,27889.0,0.6025316455696202,0.15000000000000002,0.10464135021097047,0.14282700421940928
267,4044.0,2743.0,498.0,74.0,27533.0,0.6061401207032275,0.1558646024665442,0.10181054841249017,0.13618472841773813
268,3919.0,2769.0,506.0,85.0,27738.0,0.6409180651530109,0.14461994076999013,0.09131293188548864,0.12314906219151037
269,5290.0,2734.0,517.0,71.0,27530.0,0.6228101537361459,0.14551304969610296,0.10064354665713264,0.13103324991061852
270,6383.0,2676.0,516.0,82.0,27261.0,0.6070469798657719,0.15151006711409398,0.11107382550335572,0.13036912751677854
271,5444.0,2682.0,526.0,67.0,27116.0,0.6254470167513646,0.13608130999435347,0.09956709956709957,0.1389045736871824
272,4868.0,2626.0,529.0,87.0,26812.0,0.5886308068459658,0.15810920945395274,0.09963325183374083,0.15362673186634065
273,4093.0,2709.0,536.0,64.0,25918.0,0.6143630103295622,0.1441219872110182,0.09911460895228727,0.14240039350713232
274,3262.0,2817.0,525.0,78.0,25767.0,0.5895684570009313,0.13629307668425952,0.10058987891959018,0.17354858739521886
275,2401.0,2754.0,521.0,72.0,23506.0,0.5628415300546448,0.15174443043295502,0.1126523749474569,0.17276166456494324
276,3384.0,2813.0,525.0,68.0,22580.0,0.6341463414634146,0.14336704342653184,0.08982748364069007,0.13265913146936348
277,3772.0,2805.0,525.0,79.0,22482.0,0.5924910934502604,0.1529186078377638,0.07810359002466431,0.17648670868731162
278,4935.0,2769.0,526.0,79.0,22317.0,0.608346709470305,0.14125200642054575,0.10934991974317818,0.1410513643659711
279,6087.0,2712.0,517.0,73.0,21945.0,0.6333459787556904,0.13524279210925644,0.09180576631259484,0.13960546282245828
280,3834.0,2754.0,514.0,87.0,21832.0,0.5849156118143459,0.1363396624472574,0.09361814345991562,0.185126582278481
281,2597.0,2854.0,513.0,78.0,22093.0,0.5703761147731679,0.13377278014734392,0.09654905001938736,0.19930205506010082
282,2905.0,2764.0,499.0,81.0,22283.0,0.5396935933147633,0.15424791086350975,0.10863509749303621,0.1974233983286908
283,4097.0,2828.0,504.0,70.0,22004.0,0.5843550760176557,0.14713094654242276,0.09686120647376165,0.17165277096615988
284,3134.0,2795.0,509.0,86.0,21812.0,0.6536664856056491,0.12145573058120587,0.08191200434546442,0.1429657794676806
285,5080.0,2723.0,507.0,95.0,21419.0,0.5942114589486119,0.14333530222484742,0.10061035636936405,0.16184288245717662
286,4413.0,2590.0,503.0,88.0,21418.0,0.606705935659266,0.14680561848663343,0.09356592659719076,0.15292251925690983
287,4044.0,2644.0,513.0,98.0,21575.0,0.6001483679525222,0.14638971315529178,0.09693372898120672,0.15652818991097922
288,2194.0,2741.0,513.0,90.0,21356.0,0.5711030082041932,0.1440291704649043,0.09890610756608934,0.18596171376481313
289,2638.0,2700.0,506.0,84.0,22900.0,0.5759182127981826,0.145399469897766,0.10639909125331314,0.17228322605073837
290,4720.0,2695.0,486.0,82.0,23659.0,0.5930084745762711,0.1440677966101695,0.10889830508474577,0.15402542372881356
291,4320.0,2648.0,494.0,87.0,23743.0,0.5812876331635016,0.143121815655396,0.10375173691523853,0.17183881426586384
292,4336.0,2577.0,484.0,75.0,24145.0,0.5638837638376384,0.15498154981549817,0.11162361623616236,0.1695110701107011
293,3835.0,2488.0,485.0,86.0,24510.0,0.58365961889846,0.14748107543722266,0.09840772644218221,0.17045157922213525
294,3334.0,2544.0,483.0,71.0,24606.0,0.587882423515297,0.14727054589082184,0.09988002399520096,0.16496700659868027
295,2099.0,2656.0,502.0,57.0,25370.0,0.5724499523355576,0.14537654909437558,0.10915157292659676,0.17302192564346996
296,2436.0,2587.0,508.0,63.0,26458.0,0.569376026272578,0.1539408866995074,0.11781609195402298,0.15886699507389163
297,4602.0,2479.0,511.0,89.0,28115.0,0.5786614515428075,0.15167318557149065,0.10060843111690569,0.1690569317687962
298,4378.0,2348.0,505.0,70.0,27234.0,0.5798492117888965,0.1448480694539639,0.11034955448937629,0.16495316426776332
299,4146.0,2250.0,504.0,65.0,23860.0,0.5945489628557646,0.1464061746261457,0.10130246020260492,0.1577424023154848
300,1214.0,2277.0,513.0,78.0,22719.0,0.5766062602965404,0.15321252059308071,0.11779242174629324,0.15238879736408567
301,1577.0,2366.0,504.0,63.0,22628.0,0.5928979074191503,0.15599239061509196,0.10716550412175016,0.1439441978440076
302,2093.0,2464.0,503.0,58.0,21998.0,0.5913001912045889,0.15248565965583175,0.1008604206500956,0.15535372848948376
303,3336.0,2444.0,486.0,74.0,21192.0,0.60431654676259,0.1567745803357314,0.11480815347721822,0.12410071942446044
304,6049.0,2409.0,487.0,79.0,19761.0,0.6660707901322845,0.08848766535573829,0.1026099392205935,0.14283160529138364
305,7627.0,2358.0,482.0,76.0,20061.0,0.5728792569659443,0.19405572755417957,0.08804953560371517,0.14501547987616098
