t,daily_cases_obs,ward_obs,icu_obs,daily_deaths_obs,NT,P_0_49,P_50_59,P_60_69,P_70p
32,783.0,802.0,240.0,22.0,5223.0,0.4278416347381865,0.1966794380587484,0.12005108556832694,0.2554278416347382
33,852.0,813.0,245.0,37.0,5375.0,0.545774647887324,0.18309859154929578,0.11502347417840375,0.15610328638497653
34,638.0,824.0,251.0,20.0,5595.0,0.4780564263322884,0.19122257053291536,0.11128526645768025,0.219435736677116
35,754.0,817.0,267.0,29.0,5759.0,0.48673740053050396,0.16578249336870027,0.1259946949602122,0.22148541114058357
36,452.0,829.0,270.0,16.0,5893.0,0.415929203539823,0.14823008849557523,0.09734513274336283,0.33849557522123896
37,712.0,909.0,271.0,34.0,6151.0,0.4241573033707865,0.16292134831460675,0.11095505617977527,0.30196629213483145
38,699.0,966.0,245.0,35.0,6446.0,0.4949928469241774,0.19456366237482117,0.13733905579399142,0.17310443490701002
39,815.0,932.0,241.0,29.0,6728.0,0.38650306748466257,0.12883435582822086,0.08588957055214724,0.3987730061349693
40,1516.0,953.0,226.0,26.0,6800.0,0.4656992084432718,0.16820580474934038,0.11807387862796834,0.24802110817941952
41,515.0,942.0,233.0,35.0,6796.0,0.36699029126213595,0.1553398058252427,0.09902912621359224,0.3786407766990291
42,598.0,949.0,228.0,34.0,6649.0,0.4197324414715719,0.16555183946488294,0.10535117056856187,0.3093645484949833
43,349.0,999.0,188.0,31.0,6608.0,0.40974212034383956,0.14613180515759314,0.09455587392550144,0.3495702005730659
44,514.0,1009.0,218.0,32.0,6734.0,0.39299610894941633,0.16731517509727625,0.12062256809338522,0.31906614785992216
45,643.0,992.0,208.0,32.0,6924.0,0.48833592534992226,0.16329704510108864,0.1150855365474339,0.2332814930015552
46,750.0,1073.0,229.0,30.0,7047.0,0.5186666666666667,0.19466666666666665,0.10266666666666667,0.184
47,181.0,1062.0,222.0,28.0,7485.0,0.4198895027624309,0.14917127071823205,0.12154696132596685,0.30939226519337015
48,663.0,1025.0,228.0,30.0,7842.0,0.46003016591251883,0.17496229260935142,0.09954751131221719,0.2654600301659125
49,521.0,1019.0,224.0,27.0,8259.0,0.5028790786948176,0.1689059500959693,0.0710172744721689,0.2571976967370441
50,657.0,993.0,215.0,21.0,8468.0,0.6621004566210046,0.1095890410958904,0.0898021308980213,0.1385083713850837
51,516.0,959.0,213.0,27.0,8761.0,0.3081395348837209,0.17054263565891473,0.10465116279069768,0.4166666666666667
52,603.0,939.0,207.0,23.0,8944.0,0.5854063018242123,0.16417910447761194,0.10613598673300166,0.14427860696517414
53,371.0,891.0,204.0,35.0,9110.0,0.49595687331536387,0.1320754716981132,0.09703504043126684,0.2749326145552561
54,444.0,880.0,188.0,34.0,9119.0,0.4346846846846847,0.13963963963963963,0.14864864864864866,0.27702702702702703
55,474.0,854.0,186.0,26.0,9183.0,0.4873417721518987,0.16455696202531644,0.0970464135021097,0.2510548523206751
56,412.0,823.0,182.0,23.0,9061.0,0.4441747572815534,0.11407766990291263,0.0703883495145631,0.3713592233009709
57,163.0,819.0,176.0,25.0,9169.0,0.38650306748466257,0.15950920245398773,0.12883435582822086,0.32515337423312884
58,295.0,764.0,172.0,20.0,9226.0,0.4711864406779661,0.10508474576271186,0.12542372881355932,0.2983050847457627
59,183.0,811.0,169.0,25.0,9153.0,0.4371584699453552,0.19672131147540983,0.09836065573770492,0.2677595628415301
60,368.0,796.0,172.0,16.0,9275.0,0.5570652173913043,0.21739130434782608,0.002717391304347826,0.22282608695652173
61,295.0,738.0,154.0,18.0,9067.0,0.5661016949152542,0.17966101694915254,0.06440677966101695,0.18983050847457628
62,203.0,705.0,150.0,16.0,8788.0,0.5862068965517241,0.18719211822660098,0.07389162561576355,0.15270935960591134
63,92.0,712.0,144.0,20.0,8807.0,0.36363636363636365,0.2727272727272727,0.0,0.36363636363636365
64,242.0,670.0,143.0,20.0,8776.0,0.5572755417956656,0.18575851393188855,0.06501547987616099,0.19195046439628483
65,178.0,684.0,134.0,11.0,8838.0,0.3707865168539326,0.06179775280898876,0.1404494382022472,0.42696629213483145
66,480.0,702.0,136.0,15.0,8935.0,0.6645833333333333,0.18333333333333332,0.06875,0.08333333333333333
67,533.0,739.0,135.0,16.0,8896.0,0.651031894934334,0.1575984990619137,0.08630393996247655,0.1050656660412758
68,553.0,715.0,127.0,9.0,9163.0,0.5822784810126582,0.162748643761302,0.11392405063291139,0.1410488245931284
69,138.0,695.0,120.0,12.0,9449.0,0.4420289855072464,0.11594202898550725,0.14492753623188406,0.2971014492753623
70,175.0,685.0,112.0,9.0,9359.0,0.5942857142857143,0.2057142857142857,0.09714285714285714,0.10285714285714286
71,98.0,693.0,112.0,9.0,9442.0,0.46938775510204084,0.16326530612244897,0.08163265306122448,0.2857142857142857
72,234.0,596.0,113.0,19.0,9489.0,0.5982905982905983,0.1581196581196581,0.07264957264957266,0.17094017094017094
73,219.0,589.0,103.0,12.0,9726.0,0.6073059360730594,0.1643835616438356,0.0365296803652968,0.1917808219178082
